system,k,metric,mean,std,median
content_based,5,recall,0.6967748001998001,0.2213522656972304,0.7142857142857143
content_based,5,precision,0.24864596484473628,0.12788518578577193,0.23076923076923078
content_based,5,ndcg,0.8774901456979154,0.1208707501026051,0.901052354721892
content_based,5,map,0.9616624999999999,0.12778749503359033,1.0
content_based,10,recall,0.7915892163392164,0.19416280937512778,0.8333333333333334
content_based,10,precision,0.18509427378573742,0.0911826486854279,0.17192118226600986
content_based,10,ndcg,0.8476652370750886,0.1048740128443209,0.8624198293137737
content_based,10,map,0.9528186829176115,0.12508235031406953,1.0
content_based,20,recall,0.8644133144633145,0.1577404539655853,0.875
content_based,20,precision,0.13722195485596064,0.06274037376709078,0.12903225806451613
content_based,20,ndcg,0.8283333589682027,0.0905285457149202,0.838762704058892
content_based,20,map,0.9452542894764844,0.126221802936825,1.0
content_based,50,recall,0.9320234265734266,0.11725598556047,1.0
content_based,50,precision,0.09086060271698733,0.033991187776648224,0.08955223880597014
content_based,50,ndcg,0.8209885937382491,0.07857575260774169,0.8321206113870148
content_based,50,map,0.9350175387076152,0.13277248111527495,0.9862409222887265
hybrid,5,recall,0.6976318154068154,0.22196774124521795,0.7142857142857143
hybrid,5,precision,0.24909250549807535,0.13168934560420936,0.23076923076923078
hybrid,5,ndcg,0.8748113434449519,0.1268016213330518,0.9073126057114672
hybrid,5,map,0.9529875000000001,0.14274551218189307,1.0
hybrid,10,recall,0.7886258741258741,0.19765160120007966,0.8
hybrid,10,precision,0.18620392135322836,0.09734743812636557,0.17142857142857143
hybrid,10,ndcg,0.8455612468070337,0.11087602973911319,0.8649613287324113
hybrid,10,map,0.9441857449924415,0.1380081881380897,1.0
hybrid,20,recall,0.858376492951493,0.16846376893296688,0.875
hybrid,20,precision,0.13580101307245668,0.06532108235867166,0.1282051282051282
hybrid,20,ndcg,0.8262517485325088,0.09623996690618572,0.8419103726576156
hybrid,20,map,0.9353008897742201,0.13932914560348128,1.0
hybrid,50,recall,0.9322054723054723,0.11821100846462397,1.0
hybrid,50,precision,0.0904142292878481,0.034764118263354446,0.08928571428571429
hybrid,50,ndcg,0.8159100816810896,0.08484994227032486,0.8295091082690453
hybrid,50,map,0.9233651718899425,0.14926283566380905,0.9860561803964097
